item_number ,id               ,title                                                                                                                                                                    ,authors                                                                                                                                                                                                                                                                                                              ,abstract_link                    ,pdf_link                         ,html_link                           ,other_formats_link                  ,comments                                                                                                                                                                                                                                                                                                     ,subjects                                                                                                                                                                                ,date
        107 ,arXiv:2409.09629 ,Confidence Estimation for LLM-Based Dialogue State Tracking                                                                                                              ,"Yi-Jyun Sun, Suvodip Dey, Dilek Hakkani-Tur, Gokhan Tur"                                                                                                                                                                                                                                                            ,https://arxiv.org/abs/2409.09629 ,https://arxiv.org/pdf/2409.09629 ,https://arxiv.org/html/2409.09629v1 ,https://arxiv.org/format/2409.09629 ,                                                                                                                                                                                                                                                                                                             ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI)                                                                                                                       ,"Tue, 17 Sep 2024"
        108 ,arXiv:2409.09628 ,Can Large Language Models Grasp Event Signals? Exploring Pure Zero-Shot Event-based Recognition                                                                          ,"Zongyou Yu, Qiang Qu, Xiaoming Chen, Chen Wang"                                                                                                                                                                                                                                                                     ,https://arxiv.org/abs/2409.09628 ,https://arxiv.org/pdf/2409.09628 ,https://arxiv.org/html/2409.09628v1 ,https://arxiv.org/format/2409.09628 ,                                                                                                                                                                                                                                                                                                             ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)                                                                                                        ,"Tue, 17 Sep 2024"
        109 ,arXiv:2409.09626 ,Understanding Simplicity Bias towards Compositional Mappings via Learning Dynamics                                                                                       ,"Yi Ren, Danica J. Sutherland"                                                                                                                                                                                                                                                                                       ,https://arxiv.org/abs/2409.09626 ,https://arxiv.org/pdf/2409.09626 ,                                    ,https://arxiv.org/format/2409.09626 ,4 pages                                                                                                                                                                                                                                                                                                      ,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML)                                                                                                   ,"Tue, 17 Sep 2024"
        110 ,arXiv:2409.09621 ,Stutter-Solver: End-to-end Multi-lingual Dysfluency Detection                                                                                                            ,"Xuanru Zhou, Cheol Jun Cho, Ayati Sharma, Brittany Morin, David Baquirin, Jet Vonk, Zoe Ezzes, Zachary Miller, Boon Lead Tee, Maria Luisa Gorno Tempini, Jiachen Lian, Gopala Anumanchipalli"                                                                                                                       ,https://arxiv.org/abs/2409.09621 ,https://arxiv.org/pdf/2409.09621 ,https://arxiv.org/html/2409.09621v1 ,https://arxiv.org/format/2409.09621 ,IEEE Spoken Language Technology Workshop 2024                                                                                                                                                                                                                                                                ,Audio and Speech Processing (eess.AS); Artificial Intelligence (cs.AI); Sound (cs.SD)                                                                                                   ,"Tue, 17 Sep 2024"
        111 ,arXiv:2409.09615 ,Enhancing Text Annotation through Rationale-Driven Collaborative Few-Shot Prompting                                                                                      ,"Jianfei Wu, Xubin Wang, Weijia Jia"                                                                                                                                                                                                                                                                                 ,https://arxiv.org/abs/2409.09615 ,https://arxiv.org/pdf/2409.09615 ,https://arxiv.org/html/2409.09615v1 ,https://arxiv.org/format/2409.09615 ,                                                                                                                                                                                                                                                                                                             ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI)                                                                                                                       ,"Tue, 17 Sep 2024"
        112 ,arXiv:2409.09613 ,Rethinking KenLM: Good and Bad Model Ensembles for Efficient Text Quality Filtering in Large Web Corpora                                                                 ,"Yungi Kim, Hyunsoo Ha, Sukyung Lee, Jihoo Kim, Seonghoon Yang, Chanjun Park"                                                                                                                                                                                                                                        ,https://arxiv.org/abs/2409.09613 ,https://arxiv.org/pdf/2409.09613 ,https://arxiv.org/html/2409.09613v1 ,https://arxiv.org/format/2409.09613 ,                                                                                                                                                                                                                                                                                                             ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI)                                                                                                                       ,"Tue, 17 Sep 2024"
        113 ,arXiv:2409.09611 ,Integrating Audio Narrations to Strengthen Domain Generalization in Multimodal First-Person Action Recognition                                                           ,"Cagri Gungor, Adriana Kovashka"                                                                                                                                                                                                                                                                                     ,https://arxiv.org/abs/2409.09611 ,https://arxiv.org/pdf/2409.09611 ,https://arxiv.org/html/2409.09611v1 ,https://arxiv.org/format/2409.09611 ,                                                                                                                                                                                                                                                                                                             ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Machine Learning (cs.LG); Sound (cs.SD); Audio and Speech Processing (eess.AS)                        ,"Tue, 17 Sep 2024"
        114 ,arXiv:2409.09601 ,A Survey of Foundation Models for Music Understanding                                                                                                                    ,"Wenjun Li, Ying Cai, Ziyang Wu, Wenyi Zhang, Yifan Chen, Rundong Qi, Mengqi Dong, Peigen Chen, Xiao Dong, Fenghao Shi, Lei Guo, Junwei Han, Bao Ge, Tianming Liu, Lin Gan, Tuo Zhang"                                                                                                                               ,https://arxiv.org/abs/2409.09601 ,https://arxiv.org/pdf/2409.09601 ,https://arxiv.org/html/2409.09601v1 ,https://arxiv.org/format/2409.09601 ,"20 pages, 2 figures"                                                                                                                                                                                                                                                                                        ,Sound (cs.SD); Artificial Intelligence (cs.AI); Multimedia (cs.MM); Audio and Speech Processing (eess.AS)                                                                               ,"Tue, 17 Sep 2024"
        115 ,arXiv:2409.09598 ,Improving Statistical Significance in Human Evaluation of Automatic Metrics via Soft Pairwise Accuracy                                                                   ,"Brian Thompson, Nitika Mathur, Daniel Deutsch, Huda Khayrallah"                                                                                                                                                                                                                                                     ,https://arxiv.org/abs/2409.09598 ,https://arxiv.org/pdf/2409.09598 ,https://arxiv.org/html/2409.09598v1 ,https://arxiv.org/format/2409.09598 ,                                                                                                                                                                                                                                                                                                             ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI)                                                                                                                       ,"Tue, 17 Sep 2024"
        116 ,arXiv:2409.09591 ,Open-World Test-Time Training: Self-Training with Contrast Learning                                                                                                      ,"Houcheng Su, Mengzhu Wang, Jiao Li, Bingli Wang, Daixian Liu, Zeheng Wang"                                                                                                                                                                                                                                          ,https://arxiv.org/abs/2409.09591 ,https://arxiv.org/pdf/2409.09591 ,https://arxiv.org/html/2409.09591v1 ,https://arxiv.org/format/2409.09591 ,10page                                                                                                                                                                                                                                                                                                       ,Machine Learning (cs.LG); Artificial Intelligence (cs.AI)                                                                                                                               ,"Tue, 17 Sep 2024"
        117 ,arXiv:2409.09586 ,ValueCompass: A Framework of Fundamental Values for Human-AI Alignment                                                                                                   ,"Hua Shen, Tiffany Knearem, Reshmi Ghosh, Yu-Ju Yang, Tanushree Mitra, Yun Huang"                                                                                                                                                                                                                                    ,https://arxiv.org/abs/2409.09586 ,https://arxiv.org/pdf/2409.09586 ,https://arxiv.org/html/2409.09586v1 ,https://arxiv.org/format/2409.09586 ,                                                                                                                                                                                                                                                                                                             ,Human-Computer Interaction (cs.HC); Artificial Intelligence (cs.AI); Computation and Language (cs.CL)                                                                                   ,"Tue, 17 Sep 2024"
        118 ,arXiv:2409.09570 ,MindScape Study: Integrating LLM and Behavioral Sensing for Personalized AI-Driven Journaling Experiences                                                                ,"Subigya Nepal, Arvind Pillai, William Campbell, Talie Massachi, Michael V. Heinz, Ashmita Kunwar, Eunsol Soul Choi, Orson Xu, Joanna Kuc, Jeremy Huckins, Jason Holden, Sarah M. Preum, Colin Depp, Nicholas Jacobson, Mary Czerwinski, Eric Granholm, Andrew T. Campbell"                                          ,https://arxiv.org/abs/2409.09570 ,https://arxiv.org/pdf/2409.09570 ,                                    ,https://arxiv.org/format/2409.09570 ,arXiv admin note: text overlap with arXiv:2404.00487                                                                                                                                                                                                                                                         ,Human-Computer Interaction (cs.HC); Artificial Intelligence (cs.AI)                                                                                                                     ,"Tue, 17 Sep 2024"
        119 ,arXiv:2409.09564 ,TG-LLaVA: Text Guided LLaVA via Learnable Latent Embeddings                                                                                                              ,"Dawei Yan, Pengcheng Li, Yang Li, Hao Chen, Qingguo Chen, Weihua Luo, Wei Dong, Qingsen Yan, Haokui Zhang, Chunhua Shen"                                                                                                                                                                                            ,https://arxiv.org/abs/2409.09564 ,https://arxiv.org/pdf/2409.09564 ,https://arxiv.org/html/2409.09564v1 ,https://arxiv.org/format/2409.09564 ,                                                                                                                                                                                                                                                                                                             ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)                                                                                                        ,"Tue, 17 Sep 2024"
        120 ,arXiv:2409.09560 ,Evaluating authenticity and quality of image captions via sentiment and semantic analyses                                                                                ,"Aleksei Krotov, Alison Tebo, Dylan K. Picart, Aaron Dean Algave"                                                                                                                                                                                                                                                    ,https://arxiv.org/abs/2409.09560 ,https://arxiv.org/pdf/2409.09560 ,https://arxiv.org/html/2409.09560v1 ,https://arxiv.org/format/2409.09560 ,                                                                                                                                                                                                                                                                                                             ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Machine Learning (cs.LG)                                                                              ,"Tue, 17 Sep 2024"
        121 ,arXiv:2409.09555 ,Enhancing Printed Circuit Board Defect Detection through Ensemble Learning                                                                                               ,"Ka Nam Canaan Law, Mingshuo Yu, Lianglei Zhang, Yiyi Zhang, Peng Xu, Jerry Gao, Jun Liu"                                                                                                                                                                                                                            ,https://arxiv.org/abs/2409.09555 ,https://arxiv.org/pdf/2409.09555 ,https://arxiv.org/html/2409.09555v1 ,https://arxiv.org/format/2409.09555 ,                                                                                                                                                                                                                                                                                                             ,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Computer Vision and Pattern Recognition (cs.CV)                                                                              ,"Tue, 17 Sep 2024"
        122 ,arXiv:2409.09549 ,COMFORT: A Continual Fine-Tuning Framework for Foundation Models Targeted at Consumer Healthcare                                                                         ,"Chia-Hao Li, Niraj K. Jha"                                                                                                                                                                                                                                                                                          ,https://arxiv.org/abs/2409.09549 ,https://arxiv.org/pdf/2409.09549 ,https://arxiv.org/html/2409.09549v1 ,https://arxiv.org/format/2409.09549 ,"25 pages, 10 figures. This work has been submitted to the ACM for possible publication. Copyright may be transferred without notice, after which this version may no longer be accessible"                                                                                                                  ,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Human-Computer Interaction (cs.HC)                                                                                           ,"Tue, 17 Sep 2024"
        123 ,arXiv:2409.09536 ,VernaCopter: Disambiguated Natural-Language-Driven Robot via Formal Specifications                                                                                       ,"Teun van de Laar, Zengjie Zhang, Shuhao Qi, Sofie Haesaert, Zhiyong Sun"                                                                                                                                                                                                                                            ,https://arxiv.org/abs/2409.09536 ,https://arxiv.org/pdf/2409.09536 ,https://arxiv.org/html/2409.09536v1 ,https://arxiv.org/format/2409.09536 ,                                                                                                                                                                                                                                                                                                             ,Robotics (cs.RO); Artificial Intelligence (cs.AI)                                                                                                                                       ,"Tue, 17 Sep 2024"
        124 ,arXiv:2409.09520 ,Enhancing Skin Disease Diagnosis: Interpretable Visual Concept Discovery with SAM Empowerment                                                                            ,"Xin Hu, Janet Wang, Jihun Hamm, Rie R Yotsu, Zhengming Ding"                                                                                                                                                                                                                                                        ,https://arxiv.org/abs/2409.09520 ,https://arxiv.org/pdf/2409.09520 ,https://arxiv.org/html/2409.09520v1 ,https://arxiv.org/format/2409.09520 ,                                                                                                                                                                                                                                                                                                             ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)                                                                                                        ,"Tue, 17 Sep 2024"
        125 ,arXiv:2409.09517 ,Deep Learning Under Siege: Identifying Security Vulnerabilities and Risk Mitigation Strategies                                                                           ,"Jamal Al-Karaki, Muhammad Al-Zafar Khan, Mostafa Mohamad, Dababrata Chowdhury"                                                                                                                                                                                                                                      ,https://arxiv.org/abs/2409.09517 ,https://arxiv.org/pdf/2409.09517 ,https://arxiv.org/html/2409.09517v1 ,https://arxiv.org/format/2409.09517 ,"10 pages, 1 table, 6 equations/metrics"                                                                                                                                                                                                                                                                     ,Cryptography and Security (cs.CR); Artificial Intelligence (cs.AI)                                                                                                                      ,"Tue, 17 Sep 2024"
        126 ,arXiv:2409.09513 ,Planning Transformer: Long-Horizon Offline Reinforcement Learning with Planning Tokens                                                                                   ,"Joseph Clinton, Robert Lieck"                                                                                                                                                                                                                                                                                       ,https://arxiv.org/abs/2409.09513 ,https://arxiv.org/pdf/2409.09513 ,https://arxiv.org/html/2409.09513v1 ,https://arxiv.org/format/2409.09513 ,"11 pages, 5 figures, Submitted to AAAI"                                                                                                                                                                                                                                                                     ,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Computation and Language (cs.CL)                                                                                             ,"Tue, 17 Sep 2024"
        127 ,arXiv:2409.09511 ,Explaining Deep Learning Embeddings for Speech Emotion Recognition by Predicting Interpretable Acoustic Features                                                         ,"Satvik Dixit, Daniel M. Low, Gasser Elbanna, Fabio Catania, Satrajit S. Ghosh"                                                                                                                                                                                                                                      ,https://arxiv.org/abs/2409.09511 ,https://arxiv.org/pdf/2409.09511 ,https://arxiv.org/html/2409.09511v1 ,https://arxiv.org/format/2409.09511 ,                                                                                                                                                                                                                                                                                                             ,Sound (cs.SD); Artificial Intelligence (cs.AI); Audio and Speech Processing (eess.AS)                                                                                                   ,"Tue, 17 Sep 2024"
        128 ,arXiv:2409.09506 ,ESPnet-EZ: Python-only ESPnet for Easy Fine-tuning and Integration                                                                                                       ,"Masao Someki, Kwanghee Choi, Siddhant Arora, William Chen, Samuele Cornell, Jionghao Han, Yifan Peng, Jiatong Shi, Vaibhav Srivastav, Shinji Watanabe"                                                                                                                                                              ,https://arxiv.org/abs/2409.09506 ,https://arxiv.org/pdf/2409.09506 ,https://arxiv.org/html/2409.09506v1 ,https://arxiv.org/format/2409.09506 ,Accepted to SLT 2024                                                                                                                                                                                                                                                                                         ,Sound (cs.SD); Artificial Intelligence (cs.AI); Audio and Speech Processing (eess.AS)                                                                                                   ,"Tue, 17 Sep 2024"
        129 ,arXiv:2409.09501 ,Synthetic4Health: Generating Annotated Synthetic Clinical Letters                                                                                                        ,"Libo Ren, Samuel Belkadi, Lifeng Han, Warren Del-Pinto, Goran Nenadic"                                                                                                                                                                                                                                              ,https://arxiv.org/abs/2409.09501 ,https://arxiv.org/pdf/2409.09501 ,https://arxiv.org/html/2409.09501v1 ,https://arxiv.org/format/2409.09501 ,"ongoing work, 48 pages"                                                                                                                                                                                                                                                                                     ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI)                                                                                                                       ,"Tue, 17 Sep 2024"
        130 ,arXiv:2409.09497 ,Multi-Scale Grouped Prototypes for Interpretable Semantic Segmentation                                                                                                   ,"Hugo Porta, Emanuele Dalsasso, Diego Marcos, Devis Tuia"                                                                                                                                                                                                                                                            ,https://arxiv.org/abs/2409.09497 ,https://arxiv.org/pdf/2409.09497 ,https://arxiv.org/html/2409.09497v1 ,https://arxiv.org/format/2409.09497 ,"8 pages, 5 figures, 4 tables"                                                                                                                                                                                                                                                                               ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)                                                                                                        ,"Tue, 17 Sep 2024"
        131 ,arXiv:2409.09493 ,"Hacking, The Lazy Way: LLM Augmented Pentesting"                                                                                                                        ,"Dhruva Goyal, Sitaraman Subramanian, Aditya Peela"                                                                                                                                                                                                                                                                  ,https://arxiv.org/abs/2409.09493 ,https://arxiv.org/pdf/2409.09493 ,                                    ,https://arxiv.org/format/2409.09493 ,"9 pages, 7 figures"                                                                                                                                                                                                                                                                                         ,Cryptography and Security (cs.CR); Artificial Intelligence (cs.AI)                                                                                                                      ,"Tue, 17 Sep 2024"
        132 ,arXiv:2409.09478 ,"From FDG to PSMA: A Hitchhiker's Guide to Multitracer, Multicenter Lesion Segmentation in PET/CT Imaging"                                                               ,"Maximilian Rokuss, Balint Kovacs, Yannick Kirchhoff, Shuhan Xiao, Constantin Ulrich, Klaus H. Maier-Hein, Fabian Isensee"                                                                                                                                                                                           ,https://arxiv.org/abs/2409.09478 ,https://arxiv.org/pdf/2409.09478 ,https://arxiv.org/html/2409.09478v1 ,https://arxiv.org/format/2409.09478 ,                                                                                                                                                                                                                                                                                                             ,Image and Video Processing (eess.IV); Artificial Intelligence (cs.AI); Computer Vision and Pattern Recognition (cs.CV)                                                                  ,"Tue, 17 Sep 2024"
        133 ,arXiv:2409.09461 ,TX-Gen: Multi-Objective Optimization for Sparse Counterfactual Explanations for Time-Series Classification                                                               ,"Qi Huang, Sofoklis Kitharidis, Thomas Bäck, Niki van Stein"                                                                                                                                                                                                                                                         ,https://arxiv.org/abs/2409.09461 ,https://arxiv.org/pdf/2409.09461 ,https://arxiv.org/html/2409.09461v1 ,https://arxiv.org/format/2409.09461 ,"Preprint, under review"                                                                                                                                                                                                                                                                                     ,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Neural and Evolutionary Computing (cs.NE)                                                                                    ,"Tue, 17 Sep 2024"
        134 ,arXiv:2409.09446 ,MulCPred: Learning Multi-modal Concepts for Explainable Pedestrian Action Prediction                                                                                     ,"Yan Feng, Alexander Carballo, Keisuke Fujii, Robin Karlsson, Ming Ding, Kazuya Takeda"                                                                                                                                                                                                                              ,https://arxiv.org/abs/2409.09446 ,https://arxiv.org/pdf/2409.09446 ,https://arxiv.org/html/2409.09446v1 ,https://arxiv.org/format/2409.09446 ,                                                                                                                                                                                                                                                                                                             ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)                                                                                                        ,"Tue, 17 Sep 2024"
        135 ,arXiv:2409.09424 ,NBBOX: Noisy Bounding Box Improves Remote Sensing Object Detection                                                                                                       ,"Yechan Kim, SooYeon Kim, Moongu Jeon"                                                                                                                                                                                                                                                                               ,https://arxiv.org/abs/2409.09424 ,https://arxiv.org/pdf/2409.09424 ,https://arxiv.org/html/2409.09424v1 ,https://arxiv.org/format/2409.09424 ,                                                                                                                                                                                                                                                                                                             ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)                                                                                                        ,"Tue, 17 Sep 2024"
        136 ,arXiv:2409.09418 ,Distributed Clustering based on Distributional Kernel                                                                                                                    ,"Hang Zhang, Yang Xu, Lei Gong, Ye Zhu, Kai Ming Ting"                                                                                                                                                                                                                                                               ,https://arxiv.org/abs/2409.09418 ,https://arxiv.org/pdf/2409.09418 ,https://arxiv.org/html/2409.09418v1 ,https://arxiv.org/format/2409.09418 ,                                                                                                                                                                                                                                                                                                             ,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Machine Learning (stat.ML)                                                                                                   ,"Tue, 17 Sep 2024"
        137 ,arXiv:2409.09415 ,"Enhancing LLM Problem Solving with REAP: Reflection, Explicit Problem Deconstruction, and Advanced Prompting"                                                           ,"Ryan Lingo, Martin Arroyo, Rajeev Chhajer"                                                                                                                                                                                                                                                                          ,https://arxiv.org/abs/2409.09415 ,https://arxiv.org/pdf/2409.09415 ,                                    ,https://arxiv.org/format/2409.09415 ,"524 pages, 3 figures"                                                                                                                                                                                                                                                                                       ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI); Machine Learning (cs.LG)                                                                                             ,"Tue, 17 Sep 2024"
        138 ,arXiv:2409.09413 ,Constructive Approach to Bidirectional Causation between Qualia Structure and Language Emergence                                                                         ,"Tadahiro Taniguchi, Masafumi Oizumi, Noburo Saji, Takato Horii, Naotsugu Tsuchiya"                                                                                                                                                                                                                                  ,https://arxiv.org/abs/2409.09413 ,https://arxiv.org/pdf/2409.09413 ,https://arxiv.org/html/2409.09413v1 ,https://arxiv.org/format/2409.09413 ,"20 pages, 4 Figures"                                                                                                                                                                                                                                                                                        ,Computation and Language (cs.CL); Artificial Intelligence (cs.AI)                                                                                                                       ,"Tue, 17 Sep 2024"
        139 ,arXiv:2409.09412 ,Label Convergence: Defining an Upper Performance Bound in Object Recognition through Contradictory Annotations                                                           ,"David Tschirschwitz, Volker Rodehorst"                                                                                                                                                                                                                                                                              ,https://arxiv.org/abs/2409.09412 ,https://arxiv.org/pdf/2409.09412 ,https://arxiv.org/html/2409.09412v1 ,https://arxiv.org/format/2409.09412 ,                                                                                                                                                                                                                                                                                                             ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)                                                                                                        ,"Tue, 17 Sep 2024"
        140 ,arXiv:2409.09406 ,Real-world Adversarial Defense against Patch Attacks based on Diffusion Model                                                                                            ,"Xingxing Wei, Caixin Kang, Yinpeng Dong, Zhengyi Wang, Shouwei Ruan, Yubo Chen, Hang Su"                                                                                                                                                                                                                            ,https://arxiv.org/abs/2409.09406 ,https://arxiv.org/pdf/2409.09406 ,https://arxiv.org/html/2409.09406v1 ,https://arxiv.org/format/2409.09406 ,                                                                                                                                                                                                                                                                                                             ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Cryptography and Security (cs.CR); Machine Learning (cs.LG)                                           ,"Tue, 17 Sep 2024"
        141 ,arXiv:2409.09403 ,AI-Driven Virtual Teacher for Enhanced Educational Efficiency: Leveraging Large Pretrain Models for Autonomous Error Analysis and Correction                             ,"Tianlong Xu, Yi-Fan Zhang, Zhendong Chu, Shen Wang, Qingsong Wen"                                                                                                                                                                                                                                                   ,https://arxiv.org/abs/2409.09403 ,https://arxiv.org/pdf/2409.09403 ,https://arxiv.org/html/2409.09403v1 ,https://arxiv.org/format/2409.09403 ,                                                                                                                                                                                                                                                                                                             ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI); Multimedia (cs.MM)                                                                                    ,"Tue, 17 Sep 2024"
        142 ,arXiv:2409.09386 ,AMBER -- Advanced SegFormer for Multi-Band Image Segmentation: an application to Hyperspectral Imaging                                                                   ,"Andrea Dosi, Massimo Brescia, Stefano Cavuoti, Mariarca D'Aniello, Michele Delli Veneri, Carlo Donadio, Adriano Ettari, Giuseppe Longo, Alvi Rownok, Luca Sannino, Maria Zampella"                                                                                                                                  ,https://arxiv.org/abs/2409.09386 ,https://arxiv.org/pdf/2409.09386 ,https://arxiv.org/html/2409.09386v1 ,https://arxiv.org/format/2409.09386 ,submitted to Neural Computing & Applications (Springer). Currently under review                                                                                                                                                                                                                              ,Computer Vision and Pattern Recognition (cs.CV); Artificial Intelligence (cs.AI)                                                                                                        ,"Tue, 17 Sep 2024"
        143 ,arXiv:2409.09383 ,LLM-Powered Ensemble Learning for Paper Source Tracing: A GPU-Free Approach                                                                                              ,"Kunlong Chen, Junjun Wang, Zhaoqun Chen, Kunjin Chen, Yitian Chen"                                                                                                                                                                                                                                                  ,https://arxiv.org/abs/2409.09383 ,https://arxiv.org/pdf/2409.09383 ,https://arxiv.org/html/2409.09383v1 ,https://arxiv.org/format/2409.09383 ,                                                                                                                                                                                                                                                                                                             ,Machine Learning (cs.LG); Artificial Intelligence (cs.AI); Computation and Language (cs.CL)                                                                                             ,"Tue, 17 Sep 2024"
        144 ,arXiv:2409.09381 ,Text Prompt is Not Enough: Sound Event Enhanced Prompt Adapter for Target Style Audio Generation                                                                         ,"Chenxu Xiong, Ruibo Fu, Shuchen Shi, Zhengqi Wen, Jianhua Tao, Tao Wang, Chenxing Li, Chunyu Qiang, Yuankun Xie, Xin Qi, Guanjun Li, Zizheng Yang"                                                                                                                                                                  ,https://arxiv.org/abs/2409.09381 ,https://arxiv.org/pdf/2409.09381 ,https://arxiv.org/html/2409.09381v1 ,https://arxiv.org/format/2409.09381 ,"5 pages, 2 figures, submitted to ICASSP 2025"                                                                                                                                                                                                                                                               ,Audio and Speech Processing (eess.AS); Artificial Intelligence (cs.AI); Sound (cs.SD)                                                                                                   ,"Tue, 17 Sep 2024"
        145 ,arXiv:2409.09378 ,Prevailing Research Areas for Music AI in the Era of Foundation Models                                                                                                   ,"Megan Wei, Mateusz Modrzejewski, Aswin Sivaraman, Dorien Herremans"                                                                                                                                                                                                                                                 ,https://arxiv.org/abs/2409.09378 ,https://arxiv.org/pdf/2409.09378 ,https://arxiv.org/html/2409.09378v1 ,https://arxiv.org/format/2409.09378 ,                                                                                                                                                                                                                                                                                                             ,Sound (cs.SD); Artificial Intelligence (cs.AI); Multimedia (cs.MM); Audio and Speech Processing (eess.AS)                                                                               ,"Tue, 17 Sep 2024"
